i,x,y,z,r,theta
901,-55,-157,0,166,71
902,30,100,0,104,253
903,57,58,0,81,225
904,51,158,0,166,252
905,197,-12,0,197,177
906,-2,184,0,184,270
907,18,65,0,67,254
908,-92,161,0,185,299
909,148,2,0,148,180
910,47,-164,0,170,106
911,-26,-25,0,36,44
912,-54,-115,0,127,65
913,-53,147,0,156,289
914,-177,82,0,195,335
915,-95,-24,0,97,15
916,-224,-25,0,225,7
917,24,38,0,44,237
918,89,-28,0,93,163
919,34,55,0,64,238
920,75,0,0,75,180
921,-43,34,0,54,321
922,83,-85,0,118,135
923,159,-151,0,219,137
924,88,-133,0,159,124
925,-31,78,0,83,291
926,28,-27,0,38,137
927,-39,-65,0,75,60
928,14,53,0,54,255
929,83,-21,0,85,166
930,43,94,0,103,245
931,42,-15,0,44,161
932,-58,-173,0,182,72
933,62,-20,0,65,163
934,127,-112,0,169,139
935,-50,71,0,86,305
936,-41,-139,0,144,74
937,-84,27,0,88,342
938,-41,-16,0,44,22
939,202,-113,0,231,151
940,-10,-186,0,186,87
941,9,-30,0,31,107
942,68,46,0,82,214
943,-98,-113,0,149,50
944,88,23,0,90,194
945,48,-79,0,92,122
946,124,-154,0,197,129
947,22,-60,0,63,111
948,56,43,0,70,217
949,20,34,0,39,239
950,-18,-144,0,145,83
951,155,-33,0,158,168
952,99,-19,0,100,170
953,27,-129,0,131,102
954,62,-18,0,64,164
955,71,42,0,82,210
956,-83,-54,0,99,34
957,56,-70,0,89,129
958,71,-26,0,75,160
959,-29,-78,0,83,70
960,-92,184,0,205,296
961,106,-207,0,232,118
962,-192,-125,0,229,34
963,-26,37,0,45,305
964,-40,23,0,46,330
965,164,-96,0,190,150
966,-39,-26,0,46,34
967,151,50,0,159,198
968,137,82,0,159,210
969,56,-180,0,188,108
970,-140,-153,0,207,48
971,-25,-60,0,65,68
972,-33,-44,0,55,54
973,72,-44,0,84,149
974,-51,199,0,205,284
975,-11,113,0,113,275
976,18,225,0,225,265
977,31,142,0,145,257
978,99,-105,0,144,134
979,167,128,0,210,217
980,217,-59,0,224,165
981,80,98,0,126,230
982,106,111,0,153,226
983,106,-101,0,146,137
984,-10,122,0,122,274
985,-16,-96,0,97,81
986,-156,57,0,166,339
987,-75,-69,0,101,43
988,-5,-241,0,241,89
989,-186,-96,0,209,28
990,125,51,0,135,202
991,-163,-118,0,201,36
992,-165,17,0,165,354
993,157,112,0,192,215
994,44,52,0,68,229
995,-225,19,0,225,355
996,-118,173,0,209,304
997,28,87,0,91,252
998,39,-83,0,91,116
999,175,-118,0,211,147
