i,x,y,z,r,theta
244,-39,-37,0,53,44
245,47,26,0,53,208
246,21,46,0,50,245
247,-33,37,0,49,311
248,12,49,0,50,256
249,-21,44,0,48,295
250,-54,-2,0,54,3
251,-52,-17,0,54,19
252,-51,-19,0,54,21
253,-52,-19,0,55,21
254,-48,-26,0,54,29
255,-31,-43,0,53,55
256,48,-19,0,51,159
257,-27,-45,0,52,60
258,-45,24,0,51,331
259,53,9,0,53,189
260,-55,-10,0,55,11
261,-51,16,0,53,342
262,38,39,0,54,225
263,52,19,0,55,200
264,55,-1,0,55,179
265,-55,-6,0,55,7
266,30,44,0,53,235
267,-38,35,0,51,317
268,-31,-44,0,53,55
269,-26,-47,0,53,62
270,-26,-47,0,53,62
271,39,39,0,55,225
272,-49,23,0,54,334
273,-37,-41,0,55,48
274,56,3,0,56,183
275,-22,-48,0,52,66
276,-42,33,0,53,321
277,3,51,0,51,266
278,13,-49,0,50,105
279,-34,-43,0,54,52
280,-44,-36,0,56,40
281,37,41,0,55,227
282,9,52,0,52,260
283,-47,-32,0,56,35
284,-56,-14,0,57,15
285,11,-51,0,52,103
286,-37,-42,0,55,49
287,58,1,0,58,180
288,44,-32,0,54,144
289,56,-9,0,56,171
290,-33,-45,0,55,54
291,-58,3,0,58,357
292,3,53,0,53,266
293,5,53,0,53,264
294,-10,52,0,52,280
295,-44,33,0,55,323
296,-31,44,0,53,305
297,58,-8,0,58,173
298,32,-43,0,53,127
299,-16,50,0,52,287
300,8,54,0,54,261
301,2,-54,0,54,93
302,-41,-40,0,57,45
303,34,-44,0,55,128
304,60,-4,0,60,177
305,40,41,0,57,225
306,24,-49,0,54,117
307,39,-40,0,55,135
308,-44,-38,0,58,41
309,2,-54,0,54,93
310,-59,12,0,60,348
311,49,33,0,59,213
312,-58,17,0,60,343
313,61,5,0,61,184
314,55,-22,0,59,159
315,-35,45,0,57,307
316,11,-54,0,55,102
317,56,22,0,60,201
318,60,0,0,60,180
319,-54,24,0,59,336
320,-44,38,0,58,319
321,-22,52,0,56,292
322,11,55,0,56,258
323,-42,-41,0,58,45
324,46,-37,0,59,142
325,37,-45,0,58,130
326,-62,-2,0,62,2
327,8,55,0,55,261
328,-41,-42,0,58,46
329,4,-56,0,56,95
330,-43,41,0,59,316
331,25,-52,0,57,116
332,-52,-33,0,61,33
333,61,-14,0,62,168
334,-63,-3,0,63,3
335,60,-17,0,62,165
336,-1,-56,0,56,89
337,-11,56,0,57,281
338,59,-19,0,61,163
339,-63,6,0,63,354
340,60,18,0,62,196
341,-52,33,0,61,327
342,-19,55,0,58,289
343,18,55,0,57,251
344,-17,56,0,58,286
345,-51,34,0,61,326
346,-18,-55,0,57,72
347,-63,5,0,63,355
348,-57,26,0,62,335
349,11,57,0,58,259
350,65,-10,0,65,172
351,-16,57,0,59,285
352,-17,56,0,58,286
353,64,-9,0,64,172
354,53,-35,0,63,147
355,-14,58,0,59,283
356,-37,48,0,60,307
357,35,-50,0,61,125
358,-9,-58,0,58,82
359,21,-55,0,58,111
360,-63,-17,0,65,16
361,39,47,0,61,230
362,-26,55,0,60,295
363,53,34,0,62,212
364,-64,-13,0,65,12
365,-33,-50,0,59,57
366,-1,60,0,60,270
367,-65,8,0,65,352
368,-24,-55,0,60,67
369,58,27,0,63,204
370,65,-13,0,66,169
371,-38,50,0,62,307
372,4,60,0,60,266
373,66,9,0,66,187
374,67,0,0,67,180
375,-36,51,0,62,305
376,-63,22,0,66,340
377,-45,-43,0,62,44
378,18,-59,0,61,107
379,-3,-60,0,60,88
380,-5,-61,0,61,86
381,18,58,0,60,252
382,-44,48,0,65,312
383,-68,4,0,68,356
384,-67,12,0,68,349
385,57,31,0,64,208
386,-23,-57,0,61,69
387,-39,51,0,64,307
388,-67,13,0,68,349
389,-3,62,0,62,272
390,43,47,0,63,227
391,57,-37,0,67,148
392,8,62,0,62,262
393,2,-63,0,63,92
394,68,5,0,68,184
395,65,17,0,67,194
396,39,-53,0,65,127
397,-41,52,0,66,308
398,66,-20,0,68,164
399,-15,62,0,63,283
400,-27,60,0,65,294
401,26,-61,0,66,114
402,-12,63,0,64,280
403,-18,62,0,64,286
404,48,44,0,65,222
405,43,-53,0,68,130
406,41,49,0,63,230
407,-40,-49,0,63,51
408,-16,63,0,65,284
409,-56,40,0,68,324
410,-28,62,0,68,294
411,-39,-51,0,64,53
412,-31,-55,0,63,61
