n,ms
100,0.133
100,0.135
100,0.135
200,0.524
200,0.523
200,0.525
500,3.232
500,3.250
500,3.234
800,8.245
800,8.181
800,8.186
1000,12.738
1000,12.845
1000,12.725
1500,28.484
1500,29.080
1500,29.104
2000,50.583
2000,49.935
2000,50.177
3000,111.540
3000,111.431
3000,111.919
5000,306.713
5000,309.158
5000,308.216
10000,1221.165
10000,1220.834
10000,1225.315
