T,d
1000,-0.01308
1000,-0.00857
1000,-0.00456
1000,-0.00276
1000,-0.00326
1000,-0.00723
1000,-0.00980
1000,0.00020
1500,-0.00241
1500,-0.00336
1500,-0.00506
1500,-0.00147
1500,-0.00214
1500,-0.00520
1500,-0.00273
1500,-0.00434
1500,-0.00630
1500,-0.00603
1500,-0.00184
1500,-0.00178
1500,-0.00711
1500,-0.00237
1500,-0.00748
1500,-0.00532
1500,-0.01179
1500,-0.00121
1500,0.00032
1500,-0.00763
1500,-0.01400
1500,-0.00344
1500,0.00612
1500,-0.00572
1500,-0.00683
1500,0.00014
1500,-0.00579
1500,-0.00792
1500,0.00162
1500,0.00209
1500,-0.01525
1500,-0.00659
1500,-0.00933
1500,-0.00527
1500,-0.01315
1500,-0.01021
1500,-0.00770
1500,-0.00999
1500,-0.00022
1500,-0.00301
1500,0.00289
1500,0.00081
1500,-0.00795
1500,-0.00978
1500,-0.00429
1500,0.00872
1500,-0.00563
1500,-0.01295
1500,-0.00398
1500,-0.00699
1500,-0.00371
1500,0.00273
1500,-0.00609
1500,-0.00012
1500,-0.01077
1500,-0.00666
1500,-0.00564
1500,-0.00613
1500,-0.00783
1500,-0.01202
1500,-0.00693
1500,-0.01148
1500,-0.01780
1500,-0.00486
1500,-0.00694
1500,0.00138
1500,-0.00189
1500,-0.00577
1500,-0.00333
1500,-0.00713
1500,-0.00977
1500,-0.00830
1500,-0.00004
1500,-0.00261
1500,-0.00995
1500,-0.00355
1500,-0.00427
1500,0.00084
1500,0.00249
1500,-0.00119
1500,-0.00131
1500,0.00184
1500,-0.00809
1500,-0.01204
1500,-0.01877
1500,-0.00280
1500,-0.00317
1500,-0.00610
1500,0.00148
1500,-0.00311
1500,-0.00589
1500,-0.00843
1500,-0.00325
1500,-0.00576
1500,-0.00602
1500,-0.00260
1500,-0.00451
1500,-0.00630
1500,-0.00250
1500,-0.00361
2000,0.00215
2000,0.00042
2000,-0.00379
2000,-0.00433
2000,-0.00001
2000,-0.00524
2000,-0.00810
2000,-0.00599
2000,0.00075
2000,-0.00731
2000,-0.00249
2000,-0.00793
2000,-0.00123
2000,-0.00780
2000,-0.00441
2000,-0.01090
2000,-0.00033
2000,0.00342
2000,-0.00855
2000,-0.00585
2000,-0.00200
2000,-0.00324
2000,-0.00045
2000,-0.00473
2000,-0.00897
2000,-0.01134
2000,-0.00654
2000,-0.00523
2000,-0.00949
2000,-0.00982
2000,-0.01404
2000,-0.00609
2000,-0.00110
2000,-0.00788
2000,0.00275
2000,-0.00084
2000,-0.00636
2000,-0.00504
2000,0.00019
2000,0.00101
2000,-0.01009
2000,0.00239
2000,-0.00821
2000,0.00789
2000,-0.00559
2000,0.00170
2000,-0.00971
2000,0.00114
2000,-0.00141
2000,-0.00315
2000,0.00258
2000,-0.00727
2000,-0.01702
2000,-0.00888
2000,-0.00535
2000,-0.00340
2000,-0.01022
2000,-0.01136
2000,-0.01396
2000,-0.00477
2000,-0.00552
2000,-0.01169
2000,-0.01544
2000,-0.00201
2000,0.00088
2000,0.00663
2000,-0.00785
2000,-0.00268
2000,-0.00425
2000,-0.00025
2000,-0.00148
2000,0.00143
2000,0.00828
2000,0.00179
