n,ms
100,0.570
100,0.565
100,0.560
200,1.519
200,1.562
200,1.568
500,5.796
500,5.361
500,5.172
800,10.533
800,10.096
800,10.269
1000,13.607
1000,12.285
1000,13.278
1500,23.455
1500,23.300
1500,23.112
2000,32.825
2000,33.052
2000,32.428
3000,55.950
3000,55.047
3000,55.418
5000,98.594
5000,99.600
5000,99.666
10000,204.958
10000,200.962
10000,207.296
