T,d
1000,-0.00561
1000,-0.00566
1000,-0.00632
1000,-0.00815
1000,-0.00830
1000,-0.00508
1000,-0.00651
1000,-0.00619
1000,-0.00650
1000,-0.00580
1500,-0.00556
1500,-0.00523
1500,-0.00546
1500,-0.00345
1500,-0.00731
1500,-0.00334
1500,-0.00573
1500,-0.00330
1500,-0.00601
1500,-0.00709
1500,-0.00574
1500,-0.00283
1500,-0.00510
1500,-0.00604
1500,-0.00658
1500,-0.00614
1500,-0.00477
1500,-0.00756
1500,-0.00665
1500,-0.00594
1500,-0.00654
1500,-0.00455
1500,-0.00575
1500,-0.00633
1500,-0.00442
1500,-0.00550
1500,-0.00550
1500,-0.00649
1500,-0.00557
1500,-0.00572
1500,-0.00476
1500,-0.00658
1500,-0.00605
1500,-0.00672
1500,-0.00646
1500,-0.00411
1500,-0.00281
1500,-0.00524
1500,-0.00510
1500,-0.00652
1500,-0.00435
1500,-0.00499
1500,-0.00337
1500,-0.00509
1500,-0.00380
1500,-0.00445
1500,-0.00629
1500,-0.00527
1500,-0.00559
1500,-0.00495
1500,-0.00438
1500,-0.00518
1500,-0.00838
1500,-0.00666
1500,-0.00711
1500,-0.00482
1500,-0.00538
1500,-0.00464
1500,-0.00667
1500,-0.00438
1500,-0.00723
1500,-0.00673
1500,-0.00225
1500,-0.00509
1500,-0.00745
1500,-0.00673
1500,-0.00420
1500,-0.00352
1500,-0.00494
1500,-0.00405
1500,-0.00472
1500,-0.00409
1500,-0.00427
1500,-0.00706
1500,-0.00627
1500,-0.00458
1500,-0.00780
1500,-0.00545
1500,-0.00277
1500,-0.00700
1500,-0.00563
1500,-0.00795
1500,-0.00399
1500,-0.00585
1500,-0.00643
1500,-0.00426
1500,-0.00570
1500,-0.00685
1500,-0.00540
1500,-0.00460
1500,-0.00500
1500,-0.00747
1500,-0.00673
1500,-0.00561
1500,-0.00652
1500,-0.00706
1500,-0.00613
1500,-0.00349
1500,-0.00368
1500,-0.00604
2000,-0.00441
2000,-0.00522
2000,-0.00663
2000,-0.00189
2000,-0.00432
2000,-0.00470
2000,-0.00424
2000,-0.00480
2000,-0.00468
2000,-0.00554
2000,-0.00306
2000,-0.00569
2000,-0.00467
2000,-0.00653
2000,-0.00474
2000,-0.00396
2000,-0.00393
2000,-0.00292
2000,-0.00380
2000,-0.00665
2000,-0.00337
2000,-0.00307
2000,-0.00556
2000,-0.00342
2000,-0.00519
2000,-0.00319
2000,-0.00473
2000,-0.00556
2000,-0.00518
2000,-0.00571
2000,-0.00629
2000,-0.00462
2000,-0.00519
2000,-0.00537
2000,-0.00367
2000,-0.00387
2000,-0.00291
2000,-0.00611
2000,-0.00563
2000,-0.00615
2000,-0.00465
2000,-0.00774
2000,-0.00522
2000,-0.00479
2000,-0.00443
2000,-0.00453
2000,-0.00591
2000,-0.00498
2000,-0.00509
2000,-0.00364
2000,-0.00448
2000,-0.00559
2000,-0.00382
2000,-0.00410
2000,-0.00507
2000,-0.00416
2000,-0.00477
2000,-0.00614
2000,-0.00319
2000,-0.00500
2000,-0.00581
2000,-0.00382
2000,-0.00489
2000,-0.00242
2000,-0.00526
2000,-0.00596
2000,-0.00507
2000,-0.00440
2000,-0.00434
2000,-0.00450
2000,-0.00321
2000,-0.00390
2000,-0.00525
2000,-0.00292
2000,-0.00637
2000,-0.00672
2000,-0.00503
2000,-0.00450
2000,-0.00402
2000,-0.00213
2000,-0.00470
2000,-0.00604
2000,-0.00334
2000,-0.00557
2000,-0.00362
2000,-0.00412
2000,-0.00372
2000,-0.00789
2000,-0.00247
2000,-0.00249
2000,-0.00423
2000,-0.00442
2000,-0.00324
2000,-0.00535
2000,-0.00384
2000,-0.00539
2000,-0.00597
2000,-0.00373
2000,-0.00620
2000,-0.00541
3000,-0.00282
3000,-0.00041
3000,-0.00498
3000,-0.00262
3000,-0.00320
3000,-0.00411
3000,-0.00374
3000,-0.00433
3000,-0.00501
3000,-0.00272
3000,-0.00406
3000,-0.00475
3000,-0.00465
3000,-0.00344
3000,-0.00478
3000,-0.00411
3000,-0.00456
3000,-0.00362
3000,-0.00566
3000,-0.00493
3000,-0.00307
3000,-0.00523
3000,-0.00393
3000,-0.00454
3000,-0.00483
3000,-0.00313
3000,-0.00407
3000,-0.00077
3000,-0.00575
3000,-0.00481
3000,-0.00434
3000,-0.00482
3000,-0.00231
3000,-0.00567
3000,-0.00627
3000,-0.00416
3000,-0.00309
3000,-0.00324
3000,-0.00345
