n,delta_barnes_hut,delta_energy,s
1000,0.025000,-0.00070,164.413
1000,0.025000,-0.00597,165.908
1000,0.025000,-0.00157,164.850
1000,0.025000,0.00326,165.534
1000,0.025000,0.00453,165.373
1000,0.025000,-0.00184,165.925
1000,0.025000,-0.00238,165.465
1000,0.025000,-0.00135,164.232
1000,0.025000,0.00010,164.349
1000,0.025000,-0.00363,165.419
1000,0.025000,-0.00054,165.469
1000,0.025000,-0.00820,165.788
1000,0.025000,0.00127,164.725
1000,0.025000,0.00142,164.796
1000,0.025000,-0.00662,164.866
1000,0.025000,-0.00037,164.805
1000,0.025000,-0.00328,165.083
1000,0.025000,0.00091,165.717
1000,0.025000,0.00056,164.135
1000,0.025000,-0.00159,163.593
1000,0.025000,-0.00456,163.423
1000,0.050000,-0.00175,152.978
1000,0.050000,-0.00284,151.650
1000,0.050000,-0.00334,151.681
1000,0.050000,0.00027,151.779
1000,0.050000,-0.00208,151.486
1000,0.050000,-0.00184,151.982
1000,0.050000,-0.00606,151.812
1000,0.050000,-0.00355,151.620
1000,0.050000,0.00345,151.930
1000,0.050000,-0.00394,152.291
1000,0.050000,-0.00681,151.565
1000,0.050000,-0.00366,151.496
1000,0.050000,-0.00596,151.446
1000,0.050000,-0.01062,151.209
1000,0.050000,-0.00194,151.955
1000,0.050000,0.00165,151.751
1000,0.050000,-0.00438,152.401
1000,0.050000,0.00145,151.593
1000,0.050000,-0.00040,151.334
1000,0.050000,-0.00174,152.667
1000,0.050000,-0.00376,152.241
1000,0.050000,-0.00289,151.929
1000,0.050000,-0.00426,152.032
1000,0.050000,-0.00045,151.888
1000,0.050000,-0.00662,152.411
1000,0.050000,-0.00950,152.295
1000,0.050000,-0.00382,152.394
1000,0.050000,0.00229,151.517
1000,0.050000,-0.00019,151.319
1000,0.050000,-0.00423,152.066
1000,0.050000,-0.00660,152.521
1000,0.050000,0.00024,152.186
1000,0.050000,-0.00241,151.710
1000,0.050000,-0.00498,152.955
1000,0.050000,0.00430,152.402
1000,0.050000,-0.00012,152.544
1000,0.050000,0.00081,153.155
1000,0.050000,-0.00352,152.736
1000,0.050000,-0.00523,151.055
1000,0.050000,-0.00085,151.296
1000,0.050000,0.00178,153.486
1000,0.050000,-0.00202,152.482
1000,0.050000,0.00065,151.556
1000,0.050000,-0.00288,151.399
1000,0.050000,0.00091,151.815
1000,0.050000,0.00198,153.385
1000,0.050000,-0.00291,152.113
1000,0.050000,-0.00040,151.457
1000,0.050000,0.00148,152.885
1000,0.050000,-0.00527,153.390
1000,0.050000,0.00178,152.219
1000,0.050000,-0.00375,152.522
1000,0.050000,-0.00779,152.062
1000,0.050000,-0.00854,152.350
1000,0.050000,-0.00840,151.919
1000,0.050000,-0.00400,151.719
1000,0.050000,0.00486,151.783
1000,0.050000,-0.00503,151.810
1000,0.050000,-0.00438,152.573
1000,0.050000,-0.00418,152.223
1000,0.050000,-0.00528,151.736
1000,0.050000,0.00119,152.426
1000,0.050000,0.00149,151.755
1000,0.050000,-0.00232,151.787
1000,0.050000,0.00291,151.219
1000,0.050000,-0.00145,151.847
1000,0.050000,-0.00044,152.285
1000,0.050000,-0.00637,152.602
1000,0.050000,-0.00220,152.692
1000,0.050000,0.00100,151.746
1000,0.050000,0.00067,151.569
1000,0.050000,-0.00576,151.528
1000,0.050000,-0.00210,152.288
1000,0.050000,0.00390,152.393
1000,0.050000,-0.00402,152.466
1000,0.050000,-0.00289,151.924
1000,0.050000,0.00474,152.722
1000,0.050000,-0.00469,151.205
1000,0.050000,-0.00234,152.495
1000,0.050000,0.00259,153.032
1000,0.050000,-0.00572,152.532
1000,0.050000,0.00149,150.853
1000,0.050000,-0.00689,151.939
1000,0.050000,0.00091,153.531
1000,0.050000,-0.00413,152.097
1000,0.050000,-0.00056,151.832
1000,0.050000,-0.00352,151.411
1000,0.050000,-0.00069,152.077
1000,0.050000,-0.00315,151.929
1000,0.050000,0.00225,152.153
1000,0.050000,0.00444,151.641
1000,0.050000,0.00200,151.985
1000,0.050000,-0.00408,152.357
1000,0.050000,-0.00183,151.855
1000,0.050000,-0.00118,152.003
1000,0.050000,-0.00361,152.353
1000,0.050000,-0.00510,151.596
1000,0.050000,0.00302,152.593
1000,0.050000,-0.00154,151.861
1000,0.050000,-0.00665,151.733
1000,0.100000,-0.00160,122.729
1000,0.100000,-0.00773,122.218
1000,0.100000,-0.00623,123.060
1000,0.100000,-0.00902,123.123
1000,0.100000,-0.00245,122.103
1000,0.100000,-0.00289,123.001
1000,0.100000,-0.00577,122.438
1000,0.100000,-0.00816,122.331
1000,0.100000,-0.00226,121.896
1000,0.100000,-0.00167,121.335
1000,0.100000,-0.00009,120.674
1000,0.100000,-0.00470,121.133
1000,0.100000,-0.00374,120.544
1000,0.100000,-0.00088,120.665
1000,0.100000,-0.00631,121.442
1000,0.100000,0.00045,120.505
1000,0.100000,0.00036,120.967
1000,0.100000,-0.00677,121.156
1000,0.100000,-0.00440,121.285
1000,0.100000,-0.00665,121.819
1000,0.100000,-0.01007,122.173
1000,0.100000,-0.00485,122.219
1000,0.100000,-0.00407,121.019
1000,0.100000,-0.00247,120.776
1000,0.100000,-0.00613,120.652
1000,0.100000,-0.00629,120.825
1000,0.100000,-0.00214,121.394
1000,0.100000,-0.00622,121.954
1000,0.100000,-0.00247,120.984
1000,0.100000,0.00179,121.952
1000,0.100000,-0.00168,120.657
1000,0.100000,-0.00120,120.533
1000,0.100000,-0.00155,121.554
1000,0.100000,-0.00248,120.654
1000,0.100000,0.00031,121.178
1000,0.100000,-0.00267,121.189
1000,0.100000,-0.00340,121.271
1000,0.100000,0.00116,121.484
1000,0.100000,-0.00270,122.183
1000,0.100000,-0.00532,122.343
1000,0.100000,-0.00265,121.547
1000,0.100000,0.00114,121.395
1000,0.100000,-0.00503,121.108
1000,0.100000,-0.00578,122.238
1000,0.100000,-0.00325,120.437
1000,0.100000,-0.00433,121.728
1000,0.100000,-0.00706,121.973
1000,0.100000,-0.00829,120.578
1000,0.100000,-0.00060,120.299
1000,0.100000,-0.00414,121.055
1000,0.100000,0.00475,121.361
1000,0.100000,-0.00103,120.786
1000,0.100000,-0.00004,121.537
1000,0.100000,-0.00414,121.229
1000,0.100000,-0.00257,120.656
1000,0.100000,-0.00577,121.586
1000,0.100000,-0.00818,122.196
1000,0.100000,-0.00208,122.552
1000,0.100000,-0.00521,122.382
1000,0.100000,-0.00078,121.794
1000,0.100000,-0.00335,121.013
1000,0.100000,-0.00465,121.570
1000,0.100000,-0.00583,122.384
1000,0.100000,-0.00241,121.524
1000,0.100000,-0.00281,120.323
1000,0.100000,-0.00231,119.608
1000,0.100000,0.00253,120.270
1000,0.100000,-0.00377,120.116
1000,0.100000,-0.00868,120.168
1000,0.100000,-0.00273,119.932
1000,0.100000,-0.00251,120.653
1000,0.100000,-0.00536,120.481
1000,0.100000,-0.00036,119.377
1000,0.100000,-0.00358,120.722
1000,0.100000,-0.00325,120.077
1000,0.100000,0.00033,119.860
