i,x,y,z,r,theta
0,0,0,0,0,180
1,17,25,0,30,235
2,-31,-4,0,31,8
3,26,-14,0,29,152
4,2,-25,0,25,95
5,-15,-24,0,28,58
6,-29,3,0,29,354
7,-29,15,0,32,332
8,26,0,0,26,180
9,-32,7,0,32,347
10,26,-10,0,27,159
11,-16,31,0,34,297
12,30,6,0,30,191
13,25,16,0,29,212
14,-24,-19,0,30,39
15,-27,-2,0,27,5
16,-11,27,0,29,292
17,-30,-12,0,32,22
18,13,27,0,29,244
19,6,-32,0,32,101
20,-14,25,0,28,299
21,35,-6,0,35,171
22,-4,33,0,33,276
23,-35,-5,0,35,9
24,-34,9,0,35,345
25,37,1,0,37,181
26,-31,16,0,34,332
27,-36,3,0,36,355
28,32,4,0,32,187
29,-30,17,0,34,330
30,-35,-12,0,37,19
31,-33,-18,0,37,29
32,23,25,0,33,227
33,20,-25,0,32,129
34,16,34,0,37,244
35,-13,-31,0,33,68
36,-18,34,0,38,297
37,-5,-32,0,32,82
38,-6,-33,0,33,80
39,2,32,0,32,266
40,31,-22,0,38,145
41,35,12,0,37,198
42,-33,5,0,33,351
43,38,5,0,38,187
44,20,30,0,36,236
45,-23,27,0,35,310
46,-1,38,0,38,271
47,-34,13,0,36,339
48,38,-12,0,39,163
49,-18,-30,0,34,60
50,-35,9,0,36,345
51,-17,-37,0,40,66
52,15,39,0,41,248
53,-25,-30,0,39,51
54,-17,32,0,36,297
55,-26,-30,0,39,50
56,5,41,0,41,263
57,-30,21,0,36,325
58,-31,29,0,42,316
59,37,16,0,40,203
60,39,17,0,42,203
61,-25,-30,0,39,51
62,20,-39,0,43,118
63,29,-28,0,40,137
64,-2,-44,0,44,88
65,-41,-4,0,41,6
66,-42,-13,0,43,18
67,25,34,0,42,233
68,-39,11,0,40,344
69,-34,-28,0,44,40
70,43,-6,0,43,173
71,34,31,0,46,222
72,-39,20,0,43,332
73,11,43,0,44,255
74,36,-31,0,47,140
75,39,-1,0,39,179
76,34,30,0,45,221
77,-41,11,0,42,344
78,23,40,0,46,240
79,-37,8,0,37,347
80,22,-36,0,42,122
81,23,39,0,45,239
82,-8,47,0,47,279
83,15,38,0,40,248
84,-34,-33,0,47,45
85,-12,41,0,42,286
86,33,22,0,39,213
87,-37,-29,0,47,39
88,5,47,0,47,263
89,42,22,0,47,207
90,43,23,0,48,208
91,-17,44,0,47,291
92,-42,26,0,49,328
93,-47,-12,0,48,15
94,-36,25,0,43,325
95,-26,43,0,50,301
96,21,-44,0,48,116
97,44,-9,0,44,169
98,27,35,0,44,232
99,-13,44,0,45,286
100,-47,-13,0,48,16
101,39,20,0,43,207
102,-52,3,0,52,356
103,-22,-42,0,47,63
104,-28,-33,0,43,50
105,37,-34,0,50,138
106,19,-42,0,46,115
107,52,9,0,52,189
108,-45,-18,0,48,22
109,-23,-41,0,47,61
110,-41,27,0,49,326
111,-46,19,0,49,337
112,52,-3,0,52,177
113,37,33,0,49,221
114,-3,52,0,52,273
115,14,47,0,49,253
116,-26,-45,0,51,60
117,-17,-49,0,51,71
118,47,-13,0,48,165
119,43,15,0,45,199
120,-13,48,0,49,285
121,-5,-48,0,48,85
122,35,33,0,48,223
123,-51,-6,0,51,7
124,12,46,0,47,255
125,31,-42,0,52,127
126,44,-26,0,51,150
127,-34,-37,0,50,48
128,-10,-52,0,52,80
129,49,9,0,49,190
130,-34,46,0,57,306
131,24,48,0,53,243
