i,x,y,z,r,theta
0,0,0,0,0,180
1,10,25,0,26,248
2,-24,-7,0,25,17
3,13,24,0,27,241
4,-30,-6,0,30,12
5,-24,10,0,26,337
6,-6,-26,0,26,78
7,29,16,0,33,208
8,1,-27,0,27,93
9,0,34,0,34,270
10,29,-8,0,30,165
11,-29,-6,0,29,12
12,-20,28,0,34,305
13,-12,23,0,25,297
14,36,4,0,36,186
15,-17,-26,0,31,57
16,10,-29,0,30,110
17,19,29,0,34,236
18,29,-10,0,30,161
19,-34,0,0,34,360
20,15,-27,0,30,120
21,-2,-36,0,36,87
22,-29,22,0,36,322
23,-11,-36,0,37,74
24,-25,-15,0,29,31
25,23,-28,0,36,130
26,-18,26,0,31,304
27,36,0,0,36,180
28,0,-33,0,33,90
29,-26,-13,0,29,27
30,34,-4,0,34,174
31,29,18,0,34,211
32,19,28,0,33,235
33,29,-19,0,34,147
34,-25,-22,0,33,42
35,-15,-30,0,33,64
36,33,-15,0,36,156
37,-32,-14,0,34,24
38,-25,24,0,34,316
39,32,-4,0,32,173
40,-29,16,0,33,331
41,-36,-7,0,36,12
42,-32,-19,0,37,31
43,-22,-30,0,37,54
44,-32,-18,0,36,30
45,-1,-40,0,40,89
46,31,20,0,36,212
47,38,0,0,38,180
48,-19,-33,0,38,61
49,32,-19,0,37,150
50,33,-26,0,42,142
51,36,17,0,39,205
52,36,21,0,41,210
53,-35,-16,0,38,25
54,11,-36,0,37,107
55,-40,-3,0,40,5
56,25,33,0,41,232
57,16,-39,0,42,113
58,-13,40,0,42,288
59,30,-25,0,39,141
60,39,15,0,41,201
61,-26,27,0,37,313
62,35,-26,0,43,144
63,-16,-35,0,38,66
64,24,-39,0,45,122
65,42,-1,0,42,179
66,39,-11,0,40,165
67,-6,38,0,38,278
68,-18,36,0,40,296
69,38,15,0,40,201
70,44,10,0,45,192
71,-39,-16,0,42,23
72,30,-28,0,41,137
73,-23,41,0,47,299
74,-23,35,0,41,303
75,-35,22,0,41,327
76,14,-45,0,47,108
77,-42,10,0,43,346
78,41,-26,0,48,148
79,41,-13,0,43,163
80,20,-39,0,43,118
81,-32,38,0,49,310
82,-49,-3,0,49,4
83,40,8,0,40,191
84,-13,46,0,47,285
85,-13,41,0,43,287
86,-1,-43,0,43,89
87,38,-30,0,48,142
88,38,30,0,48,218
89,14,-47,0,49,107
90,-50,14,0,51,344
91,-17,43,0,46,291
92,37,32,0,48,220
93,-40,29,0,49,324
94,46,2,0,46,182
95,40,-23,0,46,151
96,-38,24,0,44,327
97,23,42,0,47,241
98,46,-5,0,46,174
99,-38,27,0,46,324
100,44,-28,0,52,148
101,44,-9,0,44,169
102,36,32,0,48,221
103,9,42,0,42,257
104,-38,-20,0,42,28
105,-46,-15,0,48,19
106,-40,22,0,45,331
107,52,-10,0,52,170
108,49,-18,0,52,160
109,48,-17,0,50,161
110,-4,-54,0,54,86
111,-13,50,0,51,284
112,50,-13,0,51,166
113,23,43,0,48,241
114,49,-5,0,49,175
115,-39,-33,0,51,41
116,-41,-33,0,52,39
117,14,49,0,50,254
118,45,17,0,48,200
119,41,18,0,44,203
120,6,-49,0,49,97
121,49,-11,0,50,168
122,-31,39,0,49,308
123,22,42,0,47,242
124,-52,-3,0,52,4
125,15,54,0,56,254
126,35,36,0,50,225
127,54,4,0,54,184
128,52,15,0,54,196
129,41,26,0,48,212
130,-15,55,0,57,285
131,48,-17,0,50,161
132,-34,39,0,51,311
133,-46,-30,0,54,34
134,36,43,0,56,230
135,50,-32,0,59,148
136,-7,52,0,52,277
137,17,48,0,50,250
138,-31,42,0,52,306
139,43,23,0,48,208
140,-53,20,0,56,339
141,38,41,0,55,227
142,56,4,0,56,184
143,-50,24,0,55,334
144,54,-14,0,55,166
145,39,39,0,55,225
146,40,-34,0,52,140
147,6,-52,0,52,97
148,-6,-59,0,59,85
149,-15,-53,0,55,75
150,-50,29,0,57,329
151,26,-55,0,60,116
152,54,13,0,55,193
153,14,-60,0,61,104
154,19,-53,0,56,110
155,-45,-37,0,58,40
156,-30,44,0,53,304
157,-12,-51,0,52,77
158,-1,-60,0,60,90
159,36,-48,0,60,127
160,-7,62,0,62,276
161,15,54,0,56,254
162,59,2,0,59,181
163,21,-56,0,59,111
164,-12,-57,0,58,79
165,37,42,0,55,228
166,49,34,0,59,214
167,-3,-61,0,61,88
168,-18,-56,0,58,73
169,-53,18,0,55,341
170,-35,-50,0,61,56
171,31,-58,0,65,119
172,6,-64,0,64,96
173,-21,57,0,60,290
174,30,-51,0,59,121
175,-44,-46,0,63,47
176,33,55,0,64,239
177,-44,-41,0,60,43
178,47,-39,0,61,141
179,-55,14,0,56,345
180,-48,33,0,58,325
181,39,43,0,58,227
182,-45,-37,0,58,40
183,59,35,0,68,210
184,63,19,0,65,196
185,28,-55,0,61,117
186,25,58,0,63,246
187,59,18,0,61,196
188,-37,-43,0,56,50
189,-59,-27,0,64,25
190,-25,-59,0,64,68
191,63,-17,0,65,165
192,-37,57,0,67,302
193,-40,-44,0,59,48
194,40,-51,0,64,129
195,-16,-58,0,60,75
196,12,67,0,68,259
197,61,12,0,62,191
198,-37,55,0,66,303
199,-66,-9,0,66,8
200,-9,-70,0,70,83
201,-65,27,0,70,337
202,-34,55,0,64,301
203,25,-65,0,69,112
204,38,-55,0,66,125
205,7,68,0,68,264
206,27,-66,0,71,113
207,8,63,0,63,262
208,-56,-24,0,60,24
209,-56,30,0,63,331
210,13,-72,0,73,101
211,-66,22,0,69,341
212,-71,2,0,71,358
213,7,68,0,68,264
214,16,67,0,68,256
215,-24,64,0,68,290
216,-41,56,0,69,306
217,-37,-60,0,70,59
218,70,0,0,70,180
219,34,-58,0,67,121
220,-47,-56,0,73,50
221,-29,-63,0,69,66
222,68,-7,0,68,175
223,-27,65,0,70,292
224,72,-8,0,72,174
225,60,27,0,65,204
226,-56,-46,0,72,40
227,0,-69,0,69,90
228,25,65,0,69,248
229,10,69,0,69,261
230,73,22,0,76,196
231,-29,73,0,78,291
232,67,-17,0,69,166
233,-66,21,0,69,342
234,-71,-10,0,71,9
235,-71,-3,0,71,3
236,57,45,0,72,218
237,-14,-77,0,78,80
