i,x,y,z,r,theta
0,-391,-132,0,412,19
1,812,3563,0,3654,257
2,2960,5294,0,6065,240
3,981,4417,0,4524,257
4,-300,454,0,544,303
5,550,793,0,965,235
6,-404,355,0,537,318
7,-1489,2192,0,2649,304
8,-205,583,0,617,289
9,989,3343,0,3486,253
10,1489,1295,0,1973,221
11,-289,726,0,781,291
12,-737,471,0,874,327
13,59,135,0,147,246
14,428,316,0,532,216
15,395,438,0,589,227
16,-1334,644,0,1481,334
17,-281,484,0,559,300
18,-7,1236,0,1236,270
19,-487,81,0,493,350
20,52,502,0,504,264
21,-291,494,0,573,300
22,-16,531,0,531,271
23,-177,789,0,808,282
24,692,563,0,892,219
25,-360,361,0,509,314
26,-351,-252,0,432,36
27,2533,4274,0,4968,239
28,-3,3674,0,3674,270
29,14,497,0,497,268
30,102,525,0,534,259
31,1101,4722,0,4848,256
32,597,201,0,629,198
33,-212,-120,0,243,30
34,51,120,0,130,246
35,-186,-194,0,268,47
36,-386,-189,0,429,27
37,449,2314,0,2357,259
38,-687,212,0,718,342
39,133,2923,0,2926,267
40,434,3056,0,3086,261
41,132,475,0,493,254
42,526,72,0,530,187
43,1206,2737,0,2990,246
44,426,3711,0,3735,263
45,156,497,0,520,252
46,-817,2947,0,3058,285
47,-379,3424,0,3444,276
48,524,69,0,528,187
49,533,4,0,533,180
50,-903,299,0,951,341
51,-224,-121,0,254,29
52,327,737,0,806,246
53,351,320,0,474,222
54,29,300,0,301,264
55,-672,1815,0,1935,290
56,-555,-25,0,555,3
57,138,321,0,349,246
58,-554,282,0,621,333
59,-1026,2672,0,2862,291
60,141,76,0,160,208
61,-382,502,0,630,307
62,-366,1202,0,1256,286
63,-376,-170,0,412,25
64,-1215,-1,0,1215,1
65,-21,365,0,365,273
66,85,624,0,629,262
67,177,398,0,435,246
68,121,172,0,210,234
69,59,392,0,396,261
70,265,358,0,445,233
71,-936,213,0,959,347
72,-380,-67,0,385,10
73,-963,512,0,1090,332
74,-963,513,0,1091,331
75,141,792,0,804,259
76,-824,749,0,1113,317
77,-145,174,0,226,309
78,81,-655,0,659,98
79,174,378,0,416,245
80,-97,1166,0,1170,274
81,35,763,0,763,267
82,-1076,29,0,1076,358
83,-248,-90,0,263,20
84,-938,1332,0,1629,305
85,370,302,0,477,219
86,89,1065,0,1068,265
87,-400,1085,0,1156,290
88,-553,-194,0,586,20
89,-426,1007,0,1093,292
90,-976,1127,0,1490,310
91,-387,322,0,503,320
92,-877,1174,0,1465,306
93,191,371,0,417,242
94,-1066,365,0,1126,341
95,-3,443,0,443,270
96,-440,950,0,1046,294
97,87,240,0,255,250
98,-1788,3325,0,3775,298
99,-875,1161,0,1453,307
100,-846,1095,0,1383,307
101,-196,246,0,314,308
102,329,163,0,367,206
103,-477,924,0,1039,297
104,175,327,0,370,241
105,-1694,-119,0,1698,5
106,477,-44,0,479,175
107,128,1270,0,1276,264
108,71,161,0,175,246
109,-322,603,0,683,298
110,431,293,0,521,214
111,971,-542,0,1112,151
112,-499,605,0,784,309
113,-468,771,0,901,301
114,-231,433,0,490,298
115,209,840,0,865,256
116,17,3724,0,3724,269
117,-463,681,0,823,304
118,-336,771,0,841,293
119,204,167,0,263,219
120,-340,2358,0,2382,278
121,3716,-2000,0,4220,152
122,-1114,226,0,1136,348
123,465,163,0,492,199
124,-1558,1526,0,2180,315
125,-2398,1719,0,2950,324
126,-346,379,0,513,312
127,-728,751,0,1045,314
128,-806,-279,0,852,20
129,-974,611,0,1149,327
130,-42,686,0,687,273
131,-214,-102,0,237,26
132,-967,61,0,968,356
133,-891,2135,0,2313,292
134,410,427,0,591,226
135,-637,623,0,891,315
136,705,1624,0,1770,246
137,-602,472,0,764,321
138,-74,-430,0,436,81
139,39,516,0,517,265
140,-743,2561,0,2666,286
141,1718,1490,0,2274,220
142,-861,1422,0,1662,301
143,-1212,505,0,1313,337
144,527,1481,0,1571,250
145,104,619,0,627,260
146,373,496,0,620,233
147,363,315,0,480,220
148,-249,541,0,595,294
149,-899,1193,0,1493,307
150,-1078,920,0,1417,319
151,-1180,819,0,1436,325
152,-712,1032,0,1253,304
153,168,517,0,543,251
154,303,408,0,508,233
155,347,648,0,735,241
156,162,361,0,395,245
157,-132,509,0,525,284
158,-1233,408,0,1298,341
159,473,46,0,475,185
160,376,498,0,624,232
161,241,600,0,646,248
162,-1341,784,0,1553,329
163,442,-15,0,442,179
164,244,1779,0,1795,262
165,-212,1462,0,1477,278
166,218,55,0,224,194
167,-597,1518,0,1631,291
168,835,462,0,954,208
169,368,669,0,763,241
170,-460,119,0,475,345
171,-259,1286,0,1311,281
172,-487,992,0,1105,296
173,-1236,617,0,1381,333
174,-241,-205,0,316,41
175,-456,1110,0,1200,292
176,165,-14,0,165,176
177,-813,581,0,999,324
178,-450,284,0,532,327
179,-819,901,0,1217,312
180,-755,813,0,1109,312
181,-82,475,0,482,279
182,445,331,0,554,216
183,-787,942,0,1227,309
184,460,62,0,464,187
185,325,41,0,327,187
186,338,320,0,465,223
187,-781,774,0,1099,315
188,-695,374,0,789,331
189,-498,147,0,519,343
190,262,627,0,679,247
191,707,98,0,713,187
192,-893,315,0,946,340
193,166,417,0,448,248
194,-890,1755,0,1967,296
195,-528,994,0,1125,297
196,-12,481,0,481,271
197,-222,502,0,548,293
198,-442,915,0,1016,295
199,973,46,0,974,182
200,-242,448,0,509,298
201,-423,217,0,475,332
202,-424,236,0,485,330
