i,x,y,z,r,theta
0,-9448,-4105,0,10301,24
1,3984,18756,0,19174,258
2,15717,28411,0,32468,241
3,5379,25446,0,26008,258
4,-7088,-1327,0,7211,11
5,156,2755,0,2759,266
6,-8034,-5027,0,9477,33
7,-7939,10665,0,13295,306
8,-2127,18369,0,18491,276
9,5114,18340,0,19039,254
10,6483,6168,0,8948,223
11,-5134,16057,0,16857,287
12,-10204,2848,0,10593,344
13,-1666,5795,0,6029,286
14,-338,4503,0,4515,274
15,3485,6303,0,7202,241
16,-5803,1042,0,5895,349
17,-6900,-561,0,6922,5
18,-1317,5226,0,5389,284
19,27895,-20070,0,34364,145
20,-4698,3275,0,5726,325
21,-6773,-620,0,6801,6
22,-5286,2957,0,6056,330
23,-3958,7806,0,8752,296
24,817,2605,0,2730,252
25,-7717,-4461,0,8913,31
26,3343,3135,0,4582,223
27,13341,22893,0,26496,239
28,-367,20948,0,20951,271
29,-5098,2825,0,5828,331
30,3348,12223,0,12673,254
31,5646,25193,0,25817,257
32,7071,3901,0,8075,208
33,10761,3069,0,11190,195
34,-2019,6063,0,6390,288
35,2630,4739,0,5419,240
36,1072,-2834,0,3029,111
37,1908,12740,0,12882,261
38,-7897,-1602,0,8057,12
39,253,15024,0,15026,269
40,1957,16823,0,16936,263
41,-3924,4300,0,5821,312
42,1822,4028,0,4420,245
43,6098,14743,0,15954,247
44,2023,20666,0,20764,264
45,-3533,4203,0,5490,310
46,-4935,15951,0,16696,287
47,-2613,20137,0,20305,277
48,1832,3997,0,4396,245
49,2277,3715,0,4357,238
50,-38211,22887,0,44540,329
51,14733,4039,0,15276,195
52,2605,9474,0,9825,254
53,-1184,4699,0,4845,284
54,-3612,5746,0,6786,302
55,-4378,9341,0,10316,295
56,-6689,-22726,0,23689,74
57,7968,11261,0,13794,234
58,-9831,-4200,0,10690,24
59,-6475,15191,0,16513,293
60,13718,6211,0,15058,204
61,-6264,-1890,0,6542,17
62,-2883,4720,0,5530,301
63,3507,2791,0,4482,218
64,-3035,-5878,0,6615,63
65,-4415,3413,0,5580,322
66,-3412,-118,0,3414,2
67,-907,5291,0,5368,279
68,8635,9284,0,12678,227
69,-3033,4165,0,5152,306
70,-714,5939,0,5981,276
71,-3009,-6719,0,7361,66
72,-2256,29661,0,29746,274
73,-3312,-2756,0,4308,40
74,-3313,-2728,0,4291,40
75,-2149,2062,0,2978,316
76,-3335,-791,0,3427,14
77,2960,10965,0,11357,254
78,10997,-21228,0,23907,118
79,312,5805,0,5813,266
80,-1674,3087,0,3511,298
81,-2764,707,0,2852,345
82,-4400,-9837,0,10776,66
