i,x,y,z,r,theta
0,-2429,-1029,0,2637,23
1,1605,7361,0,7533,257
2,6149,11073,0,12665,240
3,2080,9674,0,9895,257
4,-1963,116,0,1966,356
5,466,1301,0,1381,250
6,-2149,-758,0,2278,20
7,-3101,4310,0,5309,305
8,-684,5035,0,5081,277
9,2020,7092,0,7374,254
10,2738,2513,0,3716,222
11,-1500,4566,0,4806,288
12,-3122,1104,0,3311,340
13,-351,1571,0,1609,282
14,247,1388,0,1409,259
15,1184,1936,0,2269,238
16,-2476,782,0,2596,342
17,-1907,319,0,1933,350
18,-332,2246,0,2270,278
19,5463,-4535,0,7100,141
20,-1118,1228,0,1660,312
21,-1882,310,0,1907,350
22,-1317,1177,0,1766,318
23,-1121,2570,0,2803,293
24,740,1087,0,1314,235
25,-2085,-655,0,2185,18
26,633,613,0,881,224
27,5235,8928,0,10349,239
28,-94,7992,0,7992,270
29,-1244,1118,0,1672,318
30,918,3458,0,3577,255
31,2237,9840,0,10091,257
32,2230,1132,0,2500,206
33,2554,682,0,2643,194
34,-446,1628,0,1687,285
35,555,1058,0,1194,242
36,76,-864,0,867,96
37,814,4920,0,4986,260
38,-2207,-813,0,2351,21
39,163,5948,0,5950,268
40,815,6498,0,6548,262
41,-866,1457,0,1694,300
42,870,1070,0,1379,230
43,2429,5738,0,6230,247
44,825,7950,0,7992,264
45,-750,1449,0,1631,297
46,-1847,6198,0,6467,286
47,-937,7602,0,7659,277
48,871,1059,0,1371,230
49,990,939,0,1364,223
50,-10232,5947,0,11834,329
51,3542,926,0,3661,194
52,900,2927,0,3062,252
53,-14,1431,0,1431,270
54,-864,1686,0,1894,297
55,-1598,3697,0,4027,293
56,-1950,-5555,0,5887,71
57,2103,3063,0,3715,235
58,-2433,-1061,0,2654,24
59,-2388,5802,0,6274,292
60,3546,1615,0,3896,204
61,-1814,10,0,1814,359
62,-996,2103,0,2326,295
63,660,590,0,885,221
64,-1573,-1215,0,1987,38
65,-1098,1168,0,1603,313
66,-761,476,0,897,327
67,-78,1640,0,1641,272
68,2287,2445,0,3347,226
69,-696,1360,0,1527,297
70,37,1772,0,1772,268
71,-1310,-1340,0,1873,46
72,-846,7375,0,7423,276
73,-1536,-187,0,1547,7
74,-1536,-179,0,1546,7
75,-419,1132,0,1207,290
76,-1449,440,0,1514,343
77,648,2903,0,2974,257
78,2813,-5802,0,6447,116
79,225,1754,0,1768,262
80,-487,1673,0,1742,286
81,-646,781,0,1013,309
82,-1587,-2064,0,2603,53
83,65,2167,0,2167,268
84,-1869,2158,0,2854,310
85,100,1429,0,1432,265
86,-224,1482,0,1498,278
87,-1071,1746,0,2048,301
88,1001,-107,0,1006,174
89,-982,1137,0,1502,310
90,-1840,1578,0,2423,319
91,-2143,-1052,0,2387,27
92,-1711,1723,0,2428,314
93,-91,1467,0,1469,273
94,-1662,-445,0,1720,15
95,-1199,1410,0,1850,310
96,-1013,962,0,1397,316
97,-312,1641,0,1670,280
98,-3852,6930,0,7928,299
99,-1705,1691,0,2401,315
100,-1637,1506,0,2224,317
101,-2476,-1091,0,2705,24
102,367,1446,0,1491,255
103,-1055,838,0,1347,321
104,149,1776,0,1782,265
105,-3100,-603,0,3158,12
106,975,864,0,1302,221
107,-78,2293,0,2294,271
108,-404,1615,0,1664,284
109,-1067,-287,0,1104,16
110,662,1630,0,1759,247
111,9042,-3920,0,9855,157
112,-1135,-283,0,1169,15
113,-1077,297,0,1117,344
114,-1490,1834,0,2362,309
115,150,2462,0,2466,266
116,-60,7836,0,7836,270
117,-1103,28,0,1103,358
118,-1728,2573,0,3099,303
119,-6,1523,0,1523,270
120,-902,5100,0,5179,280
121,51251,-24934,0,-2147483648,155
122,-1579,-855,0,1795,29
123,592,1235,0,1369,244
124,-3205,2829,0,4274,318
125,-5076,3424,0,6122,325
